GSPC.Open,GSPC.High,GSPC.Low,GSPC.Close,GSPC.Volume,GSPC.Adjusted,DJI.Open,DJI.High,DJI.Low,DJI.Close,DJI.Volume,DJI.Adjusted,IXIC.Open,IXIC.High,IXIC.Low,IXIC.Close,IXIC.Volume,IXIC.Adjusted
1469.25,1478,1438.359985,1455.219971,931800000,1455.219971,11501.849609,11522.009766,11305.69043,11357.509766,169750000,11357.509766,4186.189941,4192.189941,3989.709961,4131.149902,1510070000,4131.149902
1455.219971,1455.219971,1397.430054,1399.420044,1009000000,1399.420044,11349.75,11350.05957,10986.450195,10997.929688,178420000,10997.929688,4020,4073.25,3898.22998,3901.689941,1511840000,3901.689941
1399.420044,1413.27002,1377.680054,1402.109985,1085500000,1402.109985,10989.370117,11215.099609,10938.669922,11122.650391,203190000,11122.650391,3854.350098,3924.209961,3734.870117,3877.540039,1735670000,3877.540039
1402.109985,1411.900024,1392.099976,1403.449951,1092300000,1403.449951,11113.370117,11313.450195,11098.450195,11253.259766,176550000,11253.259766,3834.439941,3868.76001,3715.620117,3727.129883,1598320000,3727.129883
1403.449951,1441.469971,1400.72998,1441.469971,1225200000,1441.469971,11247.05957,11528.139648,11239.919922,11522.55957,184900000,11522.55957,3711.090088,3882.669922,3711.090088,3882.620117,1634930000,3882.620117
1441.469971,1464.359985,1441.469971,1457.599976,1064800000,1457.599976,11532.480469,11638.280273,11532.480469,11572.200195,168180000,11572.200195,4002.22998,4072.360107,3958.830078,4049.669922,1691710000,4049.669922
1457.599976,1458.660034,1434.420044,1438.560059,1014000000,1438.560059,11568.469727,11663.099609,11502.700195,11511.080078,177300000,11511.080078,4031.379883,4066.659912,3904.820068,3921.189941,1694460000,3921.189941
1438.560059,1442.599976,1427.079956,1432.25,974600000,1432.25,11506.730469,11612.530273,11505.179688,11551.099609,194060000,11551.099609,3950.949951,3950.97998,3834.530029,3850.02002,1525900000,3850.02002
1432.25,1454.199951,1432.25,1449.680054,1030400000,1449.680054,11558.240234,11656.580078,11524.110352,11582.429688,174910000,11582.429688,3915.139893,3957.469971,3858.219971,3957.209961,1476970000,3957.209961
1449.680054,1473,1449.680054,1465.150024,1085900000,1465.150024,11619.349609,11750.280273,11612.530273,11722.980469,266830000,11722.980469,4045.719971,4091.949951,4045.719971,4064.27002,1656630000,4064.27002
1465.150024,1465.150024,1451.300049,1455.140015,1056700000,1455.140015,11719.19043,11720.120117,11546.450195,11560.719727,200220000,11560.719727,4059.649902,4148,4053.209961,4130.810059,1585230000,4130.810059
1455.140015,1461.390015,1448.680054,1455.900024,1087800000,1455.900024,11535.240234,11574.679688,11456.009766,11489.360352,193090000,11489.360352,4116.27002,4164.649902,4084.72998,4151.290039,1652210000,4151.290039
1455.900024,1465.709961,1438.540039,1445.569946,1100700000,1445.569946,11490.290039,11558.700195,11274.980469,11351.299805,191230000,11351.299805,4205.060059,4227.350098,4143.609863,4189.509766,1851300000,4189.509766
1445.569946,1453.180054,1439.599976,1441.359985,1209800000,1441.359985,11356.259766,11387.599609,11232.480469,11251.709961,205840000,11251.709961,4236.649902,4238,4168.299805,4235.399902,1923680000,4235.399902
1441.359985,1454.089966,1395.420044,1401.530029,1115800000,1401.530029,11251.94043,11366.5,10917.269531,11008.169922,202740000,11008.169922,4290.379883,4303.149902,4095.310059,4096.080078,1989050000,4096.080078
1401.530029,1414.26001,1388.48999,1410.030029,1073700000,1410.030029,11010.959961,11079.519531,10883.450195,11029.889648,209230000,11029.889648,4124.75,4167.629883,4028.51001,4167.410156,1743630000,4167.410156
1410.030029,1412.72998,1400.160034,1404.089966,1117300000,1404.089966,11025.849609,11131.030273,11002.580078,11032.990234,188840000,11032.990234,4174.720215,4174.720215,4069.909912,4069.909912,1717000000,4069.909912
1404.089966,1418.859985,1370.98999,1398.560059,1129500000,1398.560059,11035.549805,11164.139648,10915.400391,11028.019531,194280000,11028.019531,4120.5,4140.089844,3973.590088,4039.560059,1798460000,4039.560059
1398.560059,1398.560059,1356.199951,1360.160034,1095800000,1360.160034,11024.919922,11024.919922,10735.769531,10738.870117,183090000,10738.870117,4010.139893,4048.310059,3856.22998,3887.070068,1616370000,3887.070068
1360.160034,1394.47998,1350.140015,1394.459961,993800000,1394.459961,10735.769531,10956.669922,10701.639648,10940.530273,191880000,10940.530273,3873.840088,3940.459961,3748.030029,3940.350098,1507630000,3940.350098
1394.459961,1412.48999,1384.790039,1409.280029,981000000,1409.280029,10937.740234,11073.320313,10907.959961,11041.049805,183110000,11041.049805,3961.070068,4053.159912,3911.840088,4051.97998,1398240000,4051.97998
1409.280029,1420.609985,1403.48999,1409.119995,1038600000,1409.119995,11037.639648,11118.929688,10987.070313,11003.200195,164170000,11003.200195,4059.030029,4125.75,4051.439941,4073.959961,1527880000,4073.959961
1409.119995,1425.780029,1398.52002,1424.969971,1146500000,1424.969971,11010.480469,11079.519531,10842.259766,11013.44043,178630000,11013.44043,4134.649902,4211.060059,4085.530029,4210.97998,1722330000,4210.97998
1424.969971,1435.910034,1420.630005,1424.369995,1045100000,1424.369995,11014.370117,11089.450195,10943.019531,10963.799805,166590000,10963.799805,4242.149902,4294.839844,4229.200195,4244.140137,1751450000,4244.140137
1424.369995,1427.150024,1413.329956,1424.23999,918100000,1424.23999,10965.969727,10970.94043,10846.219727,10905.790039,145660000,10905.790039,4274.029785,4321.959961,4244.740234,4321.77002,1625540000,4321.77002
