MSFT,SBUX,WBD,TMO,KO,IBKR,NOC,SLB,NTR,SBAC,PCG,Dates,date
87.629471,50.753201,24.059999,202.716217,37.044136,64.486755,313.348969,56.019367,41.82555,151.00589,41.259998,2018-03-01,2018-03-01
87.81826,51.439903,24.67,203.931259,37.2915,65.806366,317.617188,56.234104,41.817101,149.008209,40.720001,2018-03-02,2018-03-02
88.375053,51.494114,24.540001,204.24736,37.436504,67.436516,319.22818,56.826767,43.777805,152.682007,41.950001,2018-03-05,2018-03-05
88.073059,51.530262,24.42,207.566544,37.470619,69.134552,316.524628,57.230457,43.574982,152.506607,42.419998,2018-03-06,2018-03-06
88.582695,51.530262,23.940001,209.581772,37.376797,68.717316,321.107666,56.88689,43.135509,154.718674,41.119999,2018-03-07,2018-03-07
89.120651,51.927834,23.959999,209.127335,37.914158,69.33831,320.681793,57.324944,42.738297,160.019897,41.73,2018-03-08,2018-03-08
91.112007,52.822361,24.190001,215.242111,38.229752,71.570023,323.718628,59.077156,44.073605,162.241699,42.029999,2018-03-09,2018-03-09
91.329063,53.671707,24.42,214.846985,37.982391,71.143082,319.163391,58.484497,42.831264,164.59996,42.419998,2018-03-12,2018-03-12
89.101768,53.355469,24.25,212.505768,38.01651,70.308624,318.802246,57.668518,42.721394,165.993454,45.099998,2018-03-13,2018-03-13
88.573235,53.156681,24.07,211.032715,37.67231,69.707039,314.885834,57.058689,42.636879,165.886276,44.169998,2018-03-14,2018-03-14
88.884689,53.6446,23.4,210.03418,37.577663,68.57177,315.552551,56.131039,42.256577,165.467224,44.169998,2018-03-15,2018-03-15
89.28109,53.310284,23.209999,208.047058,37.396961,68.959908,313.524872,56.775238,41.893162,164.385544,45.080002,2018-03-16,2018-03-16
87.667213,52.677784,22.950001,209.312515,37.224865,68.40683,319.357758,55.572723,41.174801,164.648666,44.48,2018-03-19,2018-03-19
87.893715,53.003075,21.99,212.278366,37.138809,69.619705,321.81134,56.311401,40.473343,165.009216,43.450001,2018-03-20,2018-03-20
87.280281,52.831402,22.16,210.538422,37.001137,70.075752,321.478058,58.18388,41.064934,162.82637,42.959999,2018-03-21,2018-03-21
84.741524,52.198898,21.52,204.972443,36.794617,66.039276,313.710052,56.277046,40.000076,165.087173,44.130001,2018-03-22,2018-03-22
82.278282,50.8797,21.08,202.322891,36.42461,64.244179,320.135559,55.091732,39.71273,164.560974,43.080002,2018-03-23,2018-03-23
88.507179,52.226009,21.74,207.295731,36.734375,67.193939,328.894226,55.366589,39.864845,169.004593,42.869999,2018-03-26,2018-03-26
84.439529,51.918797,21.68,204.270508,36.906487,64.71965,323.394531,55.383774,39.898647,165.759567,43.939999,2018-03-27,2018-03-27
84.364014,52.316368,21.17,203.578476,37.276482,63.768734,319.154144,54.292923,39.046299,166.110413,43.240002,2018-03-28,2018-03-28
86.138313,52.307327,21.43,204.11232,37.371142999999996,65.243614,323.237122,55.641441,40.282207,166.558655,43.93,2018-03-29,2018-03-29
83.542931,50.81646,21.58,200.830093,36.717171,62.866364,319.904114,54.524834,39.063347,164.804611,43.330002,2018-04-02,2018-04-02
84.666039,52.406719,22.030001,204.329819,37.328125,65.651138,320.385559,55.65004,39.012203,164.366074,43.68,2018-04-03,2018-04-03
87.138718,53.156681,22.540001,206.939804,38.068142,67.038673,327.236908,55.66721,38.441128,165.993454,43.459999,2018-04-04,2018-04-04
87.185913,53.436783,22.629999,209.450882,38.205826,68.600891,333.338379,56.491779,39.293476,167.309006,44.029999,2018-04-05,2018-04-05
85.156815,52.713928,22.620001,203.222549,37.792782,67.058105,325.64444,55.280693,38.313282,165.399033,43.970001,2018-04-06,2018-04-06
85.66642,53.039215,22.530001,207.167175,37.71534,66.970757,321.820679,55.194801,39.412811,167.201813,44.43,2018-04-09,2018-04-09
87.657784,53.68074,22.6,212.743057,37.85302,68.959908,321.0336,57.299175,39.847507,158.908997,44.150002,2018-04-10,2018-04-10
86.695145,53.689774,22.549999,210.370346,37.85302,68.979301,320.950287,58.020679,39.574764,160.195267,44.799999,2018-04-11,2018-04-11
88.318436,53.698818,23.18,210.90419,37.887436,70.192184,325.949951,58.029266,40.077648,160.253738,44.630001,2018-04-12,2018-04-12
87.84655,53.527138,22.83,211.912613,38.300472,69.056915,324.607544,58.364243,39.787849,160.341431,45.34,2018-04-13,2018-04-13
88.875267,53.698818,23.4,213.454849,38.446758,70.211601,325.672211,58.85384,39.898651,161.91037,45.59,2018-04-16,2018-04-16
90.668411,54.060249,23.77,215.74852,38.618858,72.191017,328.718323,58.974098,40.145832,163.489044,46.799999,2018-04-17,2018-04-17
91.017616,53.762066,23.51,217.033707,38.300472,69.784645,331.181091,60.417095,41.117519,163.557266,46.450001,2018-04-18,2018-04-18
90.706192,53.509068,23.379999,214.522629,38.128391,70.502701,331.477325,60.365551,40.589066,161.38414,46.5,2018-04-19,2018-04-19
89.658615,52.406719,23.16,213.43512,37.637905,71.608833,329.533081,59.463684,39.838993,161.462082,45.73,2018-04-20,2018-04-20
89.988914,52.551296,23.77,213.889847,37.844414,71.764091,329.718201,59.188816,39.208252,161.588791,45.57,2018-04-23,2018-04-23
87.8843,52.235046,23.940001,210.746033,37.061367,70.609428,316.200592,58.647694,38.88435,160.721481,46.299999,2018-04-24,2018-04-24
87.119843,52.144688,24.1,212.031204,36.510654,69.871986,307.960449,59.352016,39.506573,160.292755,46.34,2018-04-25,2018-04-25
88.960197,53.653641,24.15,211.408386,36.786003,71.511803,309.201141,59.669834,39.745235,161.00412,46.290001,2018-04-26,2018-04-26
90.432503,52.73201,23.950001,210.419785,37.267887,71.705864,297.988861,59.334831,39.429852,154.894119,46.630001,2018-04-27,2018-04-27
88.261795,52.018188,23.65,207.958099,37.181847,71.996956,298.164856,58.888199,38.807644,156.141434,46.099998,2018-04-30,2018-04-30
89.658615,52.524185,24.01,208.323837,36.648335,71.851418,284.443573,58.750771,39.054829,153.481125,46.27,2018-05-01,2018-05-01
88.25238,51.232086,23.58,206.46524,36.192272,71.385651,284.388031,58.974098,39.225288,151.873184,45.869999,2018-05-02,2018-05-02
88.780876,50.71706,22.870001,205.951202,36.045994,71.162491,292.276306,58.166691,39.208252,152.175293,44.369999,2018-05-03,2018-05-03
89.809601,52.117577,23.16,207.68129,36.450428,72.724686,290.58197,59.085747,39.659996,155.079254,44.880001,2018-05-04,2018-05-04
90.809982,51.909767,23.389999,206.603653,36.261116,74.500351,293.618866,59.446503,39.412811,153.578522,44.619999,2018-05-07,2018-05-07
90.423042,52.10854,23.049999,205.70401,35.97715,75.499779,304.858795,59.729958,40.614624,153.383652,42.77,2018-05-08,2018-05-08
91.48951,51.808807,22.280001,206.316971,35.95134,76.887314,303.303284,60.880913,41.501091,154.884369,42.59,2018-05-09,2018-05-09
92.404976,52.362869,23.82,211.388672,36.295536,77.217232,302.210815,61.087055,41.952824,157.817535,43.380001,2018-05-10,2018-05-10
92.206787,52.017719,24.030001,214.087616,36.261116,77.333664,301.183105,61.052715,41.654499,156.014725,43.32,2018-05-11,2018-05-11
92.518211,51.890553,23.83,214.937805,36.175064,76.169319,295.090942,61.499329,43.043831,153.958603,43.23,2018-05-14,2018-05-14
