GDAXI.Open,GDAXI.High,GDAXI.Low,GDAXI.Close,GDAXI.Volume,GDAXI.Adjusted,FTSE.Open,FTSE.High,FTSE.Low,FTSE.Close,FTSE.Volume,FTSE.Adjusted,FCHI.Open,FCHI.High,FCHI.Low,FCHI.Close,FCHI.Volume,FCHI.Adjusted,IBEX.Open,IBEX.High,IBEX.Low,IBEX.Close,IBEX.Volume,IBEX.Adjusted,STOXX50E.Open,STOXX50E.High,STOXX50E.Low,STOXX50E.Close,STOXX50E.Volume,STOXX50E.Adjusted
11584.240234,11823.290039,11299.799805,11526.040039,1867513900,11526.040039,7074.700195,7370.600098,7074.700195,7279.200195,15186032200,7279.200195,5267.140137,5443.100098,5211.759766,5350.529785,1759062500,5350.529785,9313.5,9532.900391,9106.799805,9240.299805,3728201100,9240.299805,3306.590088,3422.340088,3273.679932,3351.709961,832301600,3351.709961
11617.179688,12376.05957,11612.700195,12344.080078,1670784200,12344.080078,7279.200195,7528.899902,7279.200195,7418.200195,13287624400,7418.200195,5394.5,5601.379883,5376.180176,5586.410156,1552386000,5586.410156,9304.799805,9588.200195,9269.700195,9570.599609,3280144200,9570.599609,3353.669922,3515.149902,3353.669922,3514.620117,700858500,3514.620117
12349.099609,12435.669922,11662.070313,11726.839844,2168473300,11726.839844,7418.200195,7446.5,7130.899902,7161.700195,15295061400,7161.700195,5568.200195,5573.160156,5160.910156,5207.629883,1891335300,5207.629883,9545.5,9559.700195,8959.5,9004.200195,3353960600,9004.200195,3514.620117,3514.620117,3258.040039,3280.429932,910607700,3280.429932
11661.120117,12438.370117,11620.639648,12398.799805,1852946200,12398.799805,7161.700195,7469.200195,7079.700195,7425.600098,14112662400,7425.600098,5171.609863,5582.240234,5152.299805,5538.970215,1676802200,5538.970215,8945.700195,9332.5,8903.099609,9198.799805,3254319800,9198.799805,3274.969971,3496.790039,3248.540039,3473.689941,714701500,3473.689941
12616.339844,12656.049805,12115.280273,12189.040039,1874735700,12189.040039,7425.600098,7727.5,7425.600098,7586.799805,14244748100,7586.799805,5584.129883,5672.77002,5496.77002,5518.899902,1533760900,5518.899902,9290.299805,9453,8946.700195,8971,3500826800,8971,3476.080078,3573.570068,3455.129883,3466.850098,741670500,3466.850098
12134.709961,12254.030273,11266.480469,11939.280273,1995691100,11939.280273,7586.799805,7610,7020.200195,7207.200195,15937435200,7207.200195,5500.910156,5563.649902,5170.77002,5480.47998,1755063200,5480.47998,8947.599609,9038.200195,8409.200195,8812.900391,3585527500,8812.900391,3458.01001,3491.159912,3239.199951,3426.76001,857706200,3426.76001
11939.990234,12494.25,11869.280273,12428.080078,1753331600,12428.080078,7207.200195,7440.799805,7199.399902,7408.200195,15855477100,7408.200195,5483.430176,5696.25,5441.180176,5677.790039,1726466100,5677.790039,8810.799805,9257.299805,8772.799805,9244.599609,3963369200,9244.599609,3426.23999,3578.040039,3406.550049,3569.449951,778672500,3569.449951
12469.669922,12986.490234,11878.980469,12866.790039,1835726200,12866.790039,7408.200195,7433.200195,7004.399902,7248.399902,18280051200,7248.399902,5696.200195,5778.240234,5393.490234,5729.859863,1890277500,5729.859863,9277,9494.5,8850.599609,9257.5,3728062800,9257.5,3573.080078,3637.939941,3398.639893,3604.409912,843400000,3604.409912
12912.089844,13374.269531,12896.719727,13236.379883,1598514500,13236.379883,7248.399902,7446,7197.299805,7346.5,14294070300,7346.5,5749.47998,5966.790039,5739.700195,5905.169922,1583901400,5905.169922,9293.099609,9482.5,9132.799805,9352,3441821700,9352,3610.219971,3733.449951,3607.679932,3703.580078,713883000,3703.580078
13264.929688,13425.849609,12886.549805,13249.009766,1372865900,13249.009766,7346.5,7665.399902,7131.200195,7542.399902,14581087800,7542.399902,5910.120117,6065,5697.060059,5978.060059,1455227900,5978.060059,9367.200195,9700.5,9110.099609,9549.200195,3051455700,9549.200195,3703.76001,3794.929932,3594.800049,3745.149902,665270200,3745.149902
