Company,Symbol,Weight
Apple Inc.,AAPL,6.711304
Microsoft Corporation,MSFT,5.70591
Amazon.com Inc.,AMZN,2.543539
Alphabet Inc. Class A,GOOGL,1.665711
Berkshire Hathaway Inc. Class B,BRK.B,1.621257
NVIDIA Corporation,NVDA,1.601427
Tesla Inc,TSLA,1.583414
Alphabet Inc. Class C,GOOG,1.480755
Exxon Mobil Corporation,XOM,1.391616
UnitedHealth Group Incorporated,UNH,1.329559
