"Date","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted","dn","mavg","up"
2018-01-02,42.540001,43.075001,42.314999,43.064999,102223600,40.888069,NA,NA,NA
2018-01-03,43.1325,43.637501,42.990002,43.057499,118071600,40.880947,NA,NA,NA
2018-01-04,43.134998,43.3675,43.02,43.2575,89738400,41.070831,NA,NA,NA
2018-01-05,43.360001,43.842499,43.262501,43.75,94640000,41.538433,NA,NA,NA
2018-01-08,43.587502,43.9025,43.482498,43.587502,82271200,41.384151,NA,NA,NA
2018-01-09,43.637501,43.764999,43.352501,43.5825,86336000,41.379414,NA,NA,NA
2018-01-10,43.290001,43.575001,43.25,43.572498,95839600,41.369911,NA,NA,NA
2018-01-11,43.647499,43.872501,43.622501,43.82,74670800,41.604893,NA,NA,NA
2018-01-12,44.044998,44.34,43.912498,44.272499,101672400,42.034534,NA,NA,NA
2018-01-16,44.474998,44.8475,44.035,44.047501,118263600,41.8209,NA,NA,NA
2018-01-17,44.037498,44.8125,43.767502,44.775002,137547200,42.511623,NA,NA,NA
2018-01-18,44.842499,45.025002,44.5625,44.814999,124773600,42.549606,NA,NA,NA
2018-01-19,44.6525,44.895,44.352501,44.615002,129700400,42.359707,NA,NA,NA
2018-01-22,44.325001,44.445,44.150002,44.25,108434400,42.013165,NA,NA,NA
2018-01-23,44.325001,44.860001,44.205002,44.259998,130756400,42.022659,NA,NA,NA
2018-01-24,44.3125,44.325001,43.299999,43.555,204420400,41.353298,NA,NA,NA
2018-01-25,43.627499,43.737499,42.6325,42.7775,166116000,40.615105,NA,NA,NA
2018-01-26,43,43,42.514999,42.877499,156572000,40.710041,NA,NA,NA
2018-01-29,42.540001,42.540001,41.767502,41.990002,202561600,39.867413,NA,NA,NA
2018-01-30,41.3825,41.842499,41.174999,41.7425,184192800,39.632423,41.9451457901314,43.5841251833333,45.2231045765353
2018-01-31,41.717499,42.110001,41.625,41.857498,129915600,39.7416,41.7611666516925,43.53641685,45.3116670483075
2018-02-01,41.7925,42.154999,41.689999,41.945,188923200,39.82468,41.5657748015696,43.4715001166667,45.3772254317637
2018-02-02,41.5,41.700001,40.025002,40.125,346375200,38.096687,41.065373740553,43.3415835,45.617793259447
2018-02-05,39.775002,40.970001,39,39.122501,290954000,37.144859,40.3764352551056,43.1455418666667,45.9146484782277
2018-02-06,38.7075,40.93,38.5,40.7575,272975200,38.697216,39.9019184390497,42.9657918666667,46.0296652942837
2018-02-07,40.772499,40.849998,39.767502,39.884998,206434400,37.868813,39.5147277244688,42.7958335,46.0769392755312
2018-02-08,40.072498,40.25,38.7575,38.787498,217562000,36.82679,38.9812442456427,42.5857918166667,46.1903393876906
2018-02-09,39.267502,39.4725,37.560001,39.102501,282690400,37.277229,38.4012227728826,42.3327918166667,46.2643608604507
2018-02-12,39.625,40.9725,39.377499,40.677502,243278000,38.778721,38.2138444796845,42.1411668833333,46.0684892869821
2018-02-13,40.487499,41.1875,40.412498,41.084999,130196800,39.167198,38.1393519395003,41.9704168166667,45.801481693833
2018-02-14,40.759998,41.884998,40.720001,41.842499,162579600,39.889332,38.1606485528906,41.8219583833333,45.483268213776
2018-02-15,42.447498,43.272499,42.25,43.247501,204588800,41.22876,38.2874721760718,41.7280833666667,45.1686945572615
2018-02-16,43.09,43.705002,42.942501,43.107498,160704400,41.095295,38.4023686454123,41.659625,44.9168813545877
2018-02-20,43.012501,43.564999,42.855,42.962502,135722000,40.957058,38.495100217678,41.60191665,44.708733082322
2018-02-21,43.2075,43.529999,42.752499,42.767502,149886400,40.77116,38.6290344725464,41.5306666333333,44.4322987941202
2018-02-22,42.950001,43.487499,42.927502,43.125,123967600,41.111973,38.6756031567638,41.5033333166667,44.3310634765695
2018-02-23,43.4175,43.912498,43.384998,43.875,135249600,41.826965,38.6216072083031,41.5370832666666,44.4525593250302
2018-02-26,44.087502,44.8475,44.052502,44.7425,152648800,42.653965,38.4679762224552,41.6245833333333,44.7811904442115
2018-02-27,44.775002,45.119999,44.540001,44.5975,155712400,42.515736,38.321337648667,41.7572499166667,45.1931621846663
2018-02-28,44.814999,45.154999,44.512501,44.529999,151128400,42.451385,38.2442374083481,41.9145416,45.5848457916518
2018-03-01,44.634998,44.945,43.165001,43.75,195208000,41.707794,38.2429817275009,42.0189999666667,45.7950182058324
2018-03-02,43.200001,44.075001,43.112499,44.052502,153816000,41.996181,38.2600679712545,42.1098333666667,45.9595987620788
2018-03-05,43.802502,44.435001,43.630001,44.205002,113605600,42.141567,38.405567945666,42.28350005,46.1614321543339
2018-03-06,44.477501,44.5625,44.032501,44.1675,95154000,42.105808,38.7337743123917,42.5113333666667,46.2888924209417
2018-03-07,43.735001,43.962502,43.567501,43.7575,126814000,41.714943,39.0567208751542,42.6963334166667,46.3359459581792
2018-03-08,43.869999,44.279999,43.767502,44.235001,95096400,42.17017,39.3991900664901,42.8926668166667,46.3861435668432
