"Date","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted","dn","mavg","up"
2018-01-02,221.020004,222.449997,220,221.160004,3485000,204.824722,NA,NA,NA
2018-01-03,221.619995,223.809998,220.520004,223.479996,2417600,206.973312,NA,NA,NA
2018-01-04,224.339996,226.100006,224.169998,224.449997,2749100,207.871704,NA,NA,NA
2018-01-05,225.190002,229.050003,224.720001,228.729996,2432800,211.835556,NA,NA,NA
2018-01-08,228.130005,228.710007,224.610001,224.759995,2850800,208.158783,NA,NA,NA
2018-01-09,224.759995,226.630005,223.300003,225.880005,2672200,209.196045,NA,NA,NA
2018-01-10,224.830002,225.009995,223.029999,224.199997,2311600,207.640137,NA,NA,NA
2018-01-11,224.179993,225.919998,223.699997,225.389999,2543600,208.742218,NA,NA,NA
2018-01-12,227.449997,229.899994,226.520004,228.639999,3943800,211.752167,NA,NA,NA
2018-01-16,233.369995,235,231.25,232.899994,6852600,215.69754,NA,NA,NA
2018-01-17,234.669998,238.960007,233.850006,238.429993,5124800,220.819107,NA,NA,NA
2018-01-18,239.259995,243.899994,238.550003,243.160004,6234200,225.199722,NA,NA,NA
2018-01-19,244.179993,244.350006,241.070007,243.350006,4293600,225.375717,NA,NA,NA
2018-01-22,243.589996,243.800003,241.360001,243.559998,4012200,225.570175,NA,NA,NA
2018-01-23,242.990005,246.979996,242.410004,245.210007,3300000,227.098343,NA,NA,NA
2018-01-24,246.009995,247.309998,243.710007,244.850006,2733300,226.764908,NA,NA,NA
2018-01-25,244.75,246.190002,243.899994,245.179993,2420500,227.070557,NA,NA,NA
2018-01-26,245,248.740005,244.460007,248.470001,2615300,230.117493,NA,NA,NA
2018-01-29,249.279999,250.789993,247.399994,247.410004,2564700,229.135788,NA,NA,NA
2018-01-30,232.880005,242.740005,232.100006,236.649994,11565500,219.170563,215.788137200214,234.547167266667,253.306197333119
2018-01-31,242.839996,247,235.759995,236.779999,5187400,219.291,217.63470362616,235.479333816667,253.323964007173
2018-02-01,235.259995,237.820007,233.830002,235.220001,4268300,217.846146,219.290456112254,236.130334016667,252.97021192108
2018-02-02,233,236.300003,231.190002,231.880005,3959900,214.752899,220.431523879367,236.5411675,252.650811120633
2018-02-05,230.789993,233.110001,208.479996,220.020004,6290000,203.768875,219.04902223308,236.19300085,253.33697946692
2018-02-06,212.199997,226.509995,210.210007,225.179993,7064800,208.547791,217.996401322247,235.92333405,253.850266777753
2018-02-07,222.330002,229.289993,221.509995,225.820007,5589200,209.140488,218.041632343803,235.93683375,253.832035156197
2018-02-08,225.330002,226.630005,216.259995,216.460007,4902400,200.471863,217.171426436032,235.722000683333,254.272574930635
2018-02-09,218,223.279999,212.009995,220.960007,6225300,204.639496,215.957739132721,235.409334133333,254.860929133946
2018-02-12,222.440002,228,222.149994,225.690002,4912000,209.020126,215.536809739967,235.25566745,254.974525160033
2018-02-13,223.149994,227.119995,222.389999,226.639999,3536800,209.899902,214.703913700487,234.8723341,255.040754499513
2018-02-14,224.949997,229.339996,223.919998,228.779999,2878400,211.881851,213.985417601375,234.385667216667,254.785916831958
2018-02-15,229.270004,230,221.740005,226.020004,4662700,209.325745,213.173549893322,233.58816735,254.002784806678
2018-02-16,225.990005,230.550003,225.699997,229.369995,3621700,212.428268,212.810198861733,232.869000283333,252.927801704933
2018-02-20,227.910004,228.75,225.610001,226.660004,3172300,209.918503,212.413129294485,232.074000333333,251.734871372182
2018-02-21,226.149994,229.350006,225.110001,225.130005,3371900,208.501465,212.273199758674,231.157167083333,250.041134407993
2018-02-22,226.300003,229.839996,225.080002,227.089996,2767900,210.316696,212.473189895647,230.259500133333,248.04581037102
2018-02-23,227.899994,230.320007,225.910004,230.160004,2393900,213.159943,213.008978050631,229.4448339,245.880689749369
2018-02-26,231.639999,234.509995,229.699997,234.059998,3307000,216.771866,214.333202353452,228.721500183333,243.109798013215
2018-02-27,234.399994,235.889999,232.440002,232.520004,2899500,215.345627,216.52626282573,227.975667083333,239.425071340937
2018-02-28,234.419998,234.75,226.089996,226.160004,4368600,209.455383,216.902151735831,227.567500333333,238.232848930836
2018-03-01,225.699997,229.289993,222.740005,224.449997,3514600,207.871704,217.772700941619,226.849833683333,235.926966425048
2018-03-02,223.210007,225.820007,222.589996,225.190002,2613600,208.557053,218.119587777672,226.2953336,234.471079422328
2018-03-05,223.369995,229.429993,222.789993,228.380005,2627300,211.511414,218.41993962863,225.98249995,233.54506027137
2018-03-06,228.919998,229.149994,223.889999,226.179993,2652800,209.473923,219.137910769031,226.2759997,233.414088630969
2018-03-07,224.350006,227.820007,223.75,227.270004,3242200,210.483398,219.905098955778,226.5583333,233.211567644222
2018-03-08,227.929993,227.990005,223.919998,224.729996,3500900,208.820129,219.905635843019,226.5586667,233.211697556981
2018-03-09,226.110001,226.520004,222.5,225.429993,4834600,209.470551,220.857571918643,226.8103332,232.763094481357
2018-03-12,226.210007,227,222.770004,222.770004,3117300,206.998886,222.231013573773,227.081833316667,231.932653059561
2018-03-13,223.529999,228.059998,223.160004,226.940002,3343800,210.873657,222.315636750682,227.120500116667,231.925363482652
2018-03-14,227.130005,229.389999,225.020004,225.380005,3048200,209.424118,222.435293194238,227.181167033333,231.927040872428
2018-03-15,225.830002,230.759995,225.660004,229.479996,3330200,213.233841,222.457699033868,227.2455004,232.033301766132
2018-03-16,229.660004,231.270004,227.75,227.860001,5690300,211.728546,222.594674056046,227.397500333333,232.200326610621
2018-03-19,227.309998,227.970001,223.679993,225.050003,3407300,209.117493,222.412712944925,227.2488337,232.084954455075
2018-03-20,225.160004,227.600006,223.880005,226.779999,3429100,210.724991,222.340941552062,227.202833783333,232.064726014604
2018-03-21,226.449997,227.440002,222.820007,222.820007,3419800,207.045364,222.082677251417,227.09433385,232.105990448583
2018-03-22,221.649994,221.660004,215.100006,215.210007,5894800,199.97406,220.021243494845,226.593667566667,233.166091638488
2018-03-23,215.75,217.729996,212.5,212.550003,5741200,197.502396,217.468212817212,225.866833966667,234.265455116122
2018-03-26,215.190002,219.410004,214.699997,219.070007,3561300,203.560822,216.627912023908,225.115334266667,233.602756509425
2018-03-27,220.320007,221.949997,216.410004,217.960007,3722100,202.529419,216.409327910304,224.37316765,232.337007389696
2018-03-28,218.889999,219.910004,217.039993,218.5,3179500,203.031158,215.786735225408,223.847334266667,231.907933307925
2018-03-29,219.380005,223.350006,214,214,5529400,198.849747,214.896790709636,223.428501116667,231.960211523697
2018-04-02,218.460007,222.990005,214.630005,217.199997,6220700,201.823227,214.313841014871,223.11550115,231.917161285129
2018-04-03,220.339996,225.100006,219.690002,224.580002,4652000,208.680725,214.296135520685,222.9283348,231.560534079315
2018-04-04,220.690002,229.479996,220.419998,228.789993,4674000,212.592712,214.301207385224,222.919501483333,231.537795581443
2018-04-05,229.460007,231.580002,226.800003,229.070007,3348100,212.852875,214.135635624246,223.0630015,231.990367375754
2018-04-06,226.649994,228.190002,221.820007,223.960007,3231700,208.10466,214.132322654366,223.018501783333,231.9046809123
2018-04-09,225.580002,226.130005,222.360001,222.729996,3031500,206.961716,214.109725230616,222.964668533333,231.81961183605
2018-04-10,225.399994,228.160004,223.490005,226.789993,2737500,210.734299,214.113087853296,223.063001766667,232.012915680037
2018-04-11,224.270004,225.389999,221.690002,221.899994,3482100,206.190475,214.06580151224,222.910001616667,231.754201721093
2018-04-12,224.039993,225.75,223.410004,224.240005,2664500,208.364822,214.089097131918,222.803501633333,231.517906134749
2018-04-13,225.100006,226.130005,223.080002,224.279999,2496600,208.401978,214.25726171285,222.596668483333,230.936075253816
2018-04-16,227.110001,231.850006,226.350006,230.320007,4510600,214.014359,214.198211438327,222.62400205,231.049792661673
2018-04-17,239.309998,241.669998,236.080002,238.550003,6180300,221.661713,212.346140214782,223.28400215,234.221864085218
2018-04-18,239,239.740005,236.300003,236.399994,2940100,219.663925,211.320790752122,223.853668683333,236.386546614545
2018-04-19,236.199997,238.270004,234.800003,235.759995,2734900,219.069229,210.794178109492,224.449501783333,238.104825457175
2018-04-20,236.050003,237.100006,233.5,235.059998,2842000,218.418808,211.333294527528,225.3443349,239.355375272472
2018-04-23,235.289993,236.210007,233.080002,234.339996,3051700,217.749786,212.773696241061,226.358501666667,239.943307092273
2018-04-24,235.949997,237.320007,232.559998,234.220001,2771200,217.63826,213.76542667514,227.2071683,240.64890992486
2018-04-25,233.449997,235.100006,230.440002,234.899994,3118800,218.270126,214.82147498125,227.942501533333,241.063528085416
2018-04-26,235.729996,237.839996,234.330002,237.029999,2252800,220.249344,215.979021330365,228.838334866667,241.697648402968
2018-04-27,237.630005,240.539993,237.149994,240.179993,2301800,223.176361,217.50460090562,229.9470011,242.38940129438
2018-04-30,241,241,236.399994,236.399994,3446900,219.663925,219.248838003559,230.930000783333,242.611163563108
2018-05-01,237,237.490005,234.360001,236.850006,2633500,220.082108,220.264409106976,231.585500816667,242.906592526357
2018-05-02,235.380005,236.210007,232.860001,233.460007,3542700,216.932022,220.8858905735,231.982834616667,243.079778659833
2018-05-03,231.970001,234.800003,229.309998,234.149994,2731600,217.573196,221.139114449663,232.163001,243.186887550337
2018-05-04,233.100006,236.649994,232.160004,235.899994,1999900,219.19931,222.153498501169,232.675333933333,243.197169365498
2018-05-07,235.880005,236.990005,232.630005,233.779999,3237800,217.229431,223.504342972981,233.211667383333,242.918991793685
2018-05-08,233.720001,233.720001,230.649994,232.029999,2698300,215.603317,224.339116243931,233.511000583333,242.682884922735
2018-05-09,233.050003,233.419998,228.229996,229.210007,3504200,212.982956,225.904059704379,233.87566735,241.847274995621
2018-05-10,230.149994,234.289993,229.360001,233.710007,2169000,217.164368,227.521673993584,234.27500055,241.028327106416
2018-05-11,233.580002,238.800003,232.949997,238.279999,3044900,221.410843,229.769868936311,234.884000433333,239.998131930356
2018-05-14,238.899994,243.669998,238.820007,242.899994,3893600,225.703781,230.167668878563,235.4985001,240.829331321437
2018-05-15,241.860001,242.220001,238.669998,239.5,2396600,222.544464,230.039176440536,235.5666667,241.094156959464
2018-05-16,239.649994,241.809998,238.570007,241.720001,1906100,224.60733,229.812641714357,235.727666766667,241.642691818976
2018-05-17,241.490005,243.559998,240.539993,242.960007,2418700,225.759537,229.448349408218,236.031500033333,242.614650658449
2018-05-18,243.369995,244.759995,242.389999,244.639999,2283600,227.320618,229.055874514639,236.46699985,243.878125185361
2018-05-21,245,249.169998,244.839996,247.899994,3040700,230.349808,228.384809532854,237.104999566667,245.82518960048
2018-05-22,248,248.050003,243.839996,245.179993,2644100,227.822342,228.251438718664,237.654499333333,247.057559948002
2018-05-23,244.029999,245.5,241.639999,244.259995,3047800,226.967484,228.609083592343,238.1704992,247.731914807657
2018-05-24,244.570007,245.440002,242.199997,242.729996,2610400,225.545776,228.731270477455,238.5233325,248.315394522545
2018-05-25,242.949997,245.580002,242.440002,244.949997,1554900,227.608643,228.663541538499,238.774999516667,248.886457494834
2018-05-29,243.860001,243.860001,240.240005,242.169998,2837800,225.025452,228.778668824943,238.982833116667,249.18699740839
2018-05-30,243.740005,245.75,242.630005,244.940002,2071900,227.599319,229.005882354586,239.393166366667,249.780450378747
2018-05-31,244.210007,244.75,240.679993,241.509995,2966100,224.41217,229.626665276954,239.79999925,249.973333223046
2018-06-01,243.740005,243.740005,241.289993,243.350006,2371400,226.121902,230.588626448133,240.3019994,250.015372351867
2018-06-04,244,245.240005,242.740005,244.630005,2188900,227.311295,231.243361982989,240.766999783333,250.290637583678
2018-06-05,245.089996,245.110001,241.910004,244.429993,1531900,227.125443,232.083176552012,241.2344996,250.385822647988
2018-06-06,246.320007,248.720001,245.130005,248.649994,2650300,231.046661,233.47813862483,242.002833033333,250.527527441837
2018-06-07,249.759995,250,248.25,248.979996,2117200,231.353348,235.752486932018,242.94233295,250.132178967981
2018-06-08,249.460007,251.5,248.070007,250.679993,3034600,232.932999,237.759125769618,243.823832933333,249.888540097048
2018-06-11,250.839996,254.990005,250.399994,253.779999,2775200,235.813507,238.245155815048,244.642832916667,251.040510018285
2018-06-12,253.199997,253.940002,250.169998,253.580002,2567200,235.62767,238.060927848352,245.1811663,252.301404751648
2018-06-13,254.139999,256.730011,252.479996,252.869995,3138300,234.967941,238.174548993979,245.875999683333,253.577450372687
2018-06-14,254.470001,255.990005,253.660004,255.330002,2456600,237.253784,238.31199951094,246.590666433333,254.869333355727
2018-06-15,254.270004,255.979996,252.559998,255.979996,4772200,238.699142,238.440237607892,247.214999633333,255.989761658775
2018-06-18,254,255.009995,252.139999,254.869995,1961900,237.664078,238.605757270238,247.7188329,256.831908529762
2018-06-19,252.970001,253.300003,251.160004,253.020004,2370200,235.938965,238.634702571701,247.978333283333,257.321963994966
2018-06-20,253.320007,253.729996,251.880005,252.809998,2580400,235.743164,238.825632207807,248.334166733333,257.84270125886
2018-06-21,252.949997,253.649994,250.919998,251.889999,2150300,234.885254,239.343331231561,248.75183335,258.160335468439
2018-06-22,252.240005,255.110001,251.190002,254.369995,2604000,237.197815,239.955794011921,249.2568334,258.557872788079
2018-06-25,254.360001,255.130005,248.610001,250.710007,3060800,233.784958,240.552810787629,249.6148336,258.676856412371
2018-06-26,250.559998,252.470001,249.539993,249.770004,2158000,232.908371,241.65763397503,250.040000166667,258.422366358303
2018-06-27,250.289993,251.759995,248.130005,248.169998,2481000,231.416397,242.295362425954,250.285666683333,258.275970940713
2018-06-28,247.130005,248,242.229996,244.899994,3556900,228.367096,242.901846290984,250.422166716667,257.942487142349
2018-06-29,244.899994,247.5,244.600006,245.339996,2772600,228.777435,243.567992348756,250.573166683333,257.578341017911
2018-07-02,245,247.729996,244.119995,247.479996,1793300,230.772964,244.027955006828,250.685166216667,257.342377426505
2018-07-03,248.300003,248.75,246.740005,246.979996,1248000,230.306717,244.803349836309,250.868832933333,256.934316030358
2018-07-05,249.110001,250.929993,247.580002,250.5,2182900,233.589096,245.081518225564,250.97733285,256.873147474436
2018-07-06,251.009995,251.729996,249.419998,250.759995,1572300,233.831558,245.221209153389,251.055332733333,256.889456313278
2018-07-09,252.130005,254.009995,251.050003,253.669998,2039600,236.545074,245.326734300641,251.196666,257.066597699359
2018-07-10,254.179993,256.899994,253.75,255.539993,2012200,238.288834,245.211419003669,251.313665816667,257.415912629664
2018-07-11,255.139999,256,253.740005,254.589996,1486000,237.402985,245.157389905695,251.424332466667,257.691275027638
2018-07-12,256.179993,256.820007,254.919998,256.049988,1592700,238.764435,245.043071200506,251.519498983333,257.995926766161
2018-07-13,256.390015,259.01001,256.019989,258.700012,2356200,241.235565,244.765097009804,251.665332316667,258.565567623529
2018-07-16,258.290009,258.450012,256.440002,256.980011,3625400,239.631668,244.586102619723,251.7878329,258.989563180277
2018-07-17,251.550003,252.520004,246.270004,250.289993,6932300,233.393234,244.390828470555,251.572166433333,258.753504396112
2018-07-18,251.110001,256.609985,250.440002,255.419998,3359800,238.17691,244.395156324055,251.655332666667,258.915509009278
2018-07-19,255.320007,256.5,251.850006,252.929993,2307600,235.855011,244.400815901294,251.702999333333,259.005182765373
2018-07-20,251.169998,253.550003,251.169998,252.699997,1959600,235.640579,244.411538745542,251.71899945,259.026460154458
2018-07-23,252.910004,255.229996,252.429993,252.740005,1479600,235.677872,244.411461384192,251.714499383333,259.017537382475
2018-07-24,254.860001,254.960007,252.009995,253.759995,2476500,236.629028,244.472507406816,251.819165783333,259.165824159851
2018-07-25,254.809998,255.270004,252.770004,254.860001,3016900,237.654739,244.604068735175,252.0044993,259.404929864825
2018-07-26,256.25,257.869995,255.800003,257,2021300,239.650269,244.794090426052,252.381332633333,259.968574840615
2018-07-27,257.790009,257.790009,255.389999,255.949997,1656800,238.671173,245.969096794126,252.94799955,259.926902305874
2018-07-30,255.910004,256.890015,253.110001,253.839996,1681500,236.703613,247.198923648809,253.387999716667,259.577075784524
2018-07-31,254.139999,255.199997,252.850006,253.220001,2355900,236.125473,248.447886206783,253.753666666667,259.05944712655
2018-08-01,256.100006,256.100006,252.809998,253.369995,3006700,236.26532,249.623829071084,254.0838333,258.543837528916
2018-08-02,253.5,256.299988,252.229996,256.079987,1854400,238.792374,250.362820552925,254.3438329,258.324845247075
2018-08-03,256.450012,257.559998,254.300003,257.220001,1422300,239.855423,250.944181268231,254.629999783333,258.315818298436
2018-08-06,256.5,257.540009,255.470001,256.76001,1398100,239.426483,251.122594195671,254.814000183333,258.505406170996
2018-08-07,257.640015,258.839996,257.130005,257.649994,1462800,240.256409,251.017483915007,254.93783365,258.858183384993
2018-08-08,258.109985,259.5,257.920013,258.809998,1494300,241.338089,250.881408220598,255.13616715,259.390926079402
2018-08-09,259.910004,263.019989,259.309998,261.589996,2315000,243.930405,250.37480609039,255.405000316667,260.435194542943
2018-08-10,260.48999,261.5,259.109985,260.359985,1625000,242.783401,250.156533712842,255.5256663,260.894798887158
2018-08-13,261,262.549988,260.299988,260.910004,1635100,243.296356,249.840878544452,255.723832216667,261.606785888882
2018-08-14,260.890015,264.299988,260.850006,263.480011,1941600,245.692871,250.397151380093,256.38299895,262.368846519907
2018-08-15,261.980011,262.690002,259.190002,260.609985,2017700,243.016602,250.524018528838,256.716665683333,262.909312837828
2018-08-16,261.570007,263.75,261.450012,263.100006,2115900,245.338455,250.60119250495,257.166999333333,263.732806161716
2018-08-17,263.549988,264.130005,261.720001,262.329987,1969700,244.620422,251.058911818238,257.679665916667,264.300420015095
2018-08-20,263,263.48999,261.570007,262.399994,1786200,244.685684,251.49045874795,258.130665866667,264.770872985384
2018-08-21,261.850006,262.519989,260.730011,261.690002,1559300,244.023666,252.071521676263,258.53416595,264.996810223737
