N225.Open,N225.High,N225.Low,N225.Close,N225.Volume,N225.Adjusted,HSI.Open,HSI.High,HSI.Low,HSI.Close,HSI.Volume,HSI.Adjusted,BSESN.Open,BSESN.High,BSESN.Low,BSESN.Close,BSESN.Volume,BSESN.Adjusted,NSEI.Open,NSEI.High,NSEI.Low,NSEI.Close,NSEI.Volume,NSEI.Adjusted,AORD.Open,AORD.High,AORD.Low,AORD.Close,AORD.Volume,AORD.Adjusted
8549.540039,8911.620117,8349.330078,8802.509766,2153800000,8802.509766,18770.640625,20590.800781,18302.839844,20390.490234,32840360700,20390.490234,15640.55957,17258.970703,15640.55957,17193.550781,336400,17193.550781,4675.799805,5217,4675.799805,5199.25,0,5199.25,4123.299805,4373.299805,4122.600098,4325.700195,15765271800,4325.700195
8789.05957,9866.410156,8780.099609,9723.240234,3455900000,9723.240234,20394.669922,21760.339844,20269.509766,21680.080078,34569578200,21680.080078,17179.640625,18523.779297,17061.550781,17752.679688,431400,17752.679688,5198.149902,5629.950195,5159,5385.200195,0,5385.200195,4322.399902,4406.100098,4246.399902,4388.100098,23268683500,4388.100098
9771.339844,10255.150391,9509.099609,10083.55957,3340600000,10083.55957,21578.189453,21641.140625,20374.029297,20555.580078,36002725500,20555.580078,17714.619141,18040.689453,16920.609375,17404.199219,335200,17404.199219,5366,5499.399902,5135.950195,5295.549805,0,5295.549805,4381,4443,4234.399902,4420,24272948400,4420
10161.719727,10190.349609,9388.139648,9520.889648,2547300000,9520.889648,20662.970703,21105.570313,20035.679688,21094.210938,27752732600,21094.210938,17429.960938,17664.099609,17010.160156,17318.810547,212800,17318.810547,5296.350098,5378.75,5154.299805,5248.149902,0,5248.149902,4432.5,4468.100098,4327.299805,4467.200195,16695280300,4467.200195
9471.660156,9472.25,8455.129883,8542.730469,2713200000,8542.730469,21245.480469,21385.300781,18378.140625,18629.519531,44756588000,18629.519531,17370.929688,17432.330078,15809.709961,16218.530273,249800,16218.530273,5254.299805,5279.600098,4788.950195,4924.25,0,4924.25,4468.799805,4515,4077.399902,4133.700195,22832288400,4133.700195
8465.469727,9044.040039,8238.959961,9006.780273,2548800000,9006.780273,18498.910156,19578.820313,18056.400391,19441.460938,32618072800,19441.460938,16217.480469,17448.480469,15748.980469,17429.980469,219600,17429.980469,4910.850098,5286.25,4770.350098,5278.899902,0,5278.899902,4133.700195,4202.600098,4033.399902,4135.5,19891969700,4135.5
9103.790039,9136.019531,8328.019531,8695.05957,2457400000,8695.05957,19765.410156,19869.109375,18710.589844,19796.810547,29677791200,19796.810547,17438.679688,17631.189453,16598.480469,17236.179688,210200,17236.179688,5283.850098,5348.549805,5032.399902,5229,0,5229,4135.5,4305.600098,4100,4289.399902,17017518700,4289.399902
8622.040039,9222.870117,8513.200195,8839.910156,2571500000,8839.910156,19646.960938,20300.029297,19450.769531,19482.570313,28688847200,19482.570313,17244.439453,17972.539063,17026.970703,17380.75,213400,17380.75,5220.700195,5448.600098,5164.649902,5258.5,0,5258.5,4289.399902,4430.299805,4235.100098,4339,20528894000,4339
8836.610352,9288.530273,8646.030273,8870.160156,2403400000,8870.160156,19414.619141,20895.609375,19076.789063,20840.380859,33308504500,20840.380859,17465.599609,18869.939453,17250.800781,18762.740234,214200,18762.740234,5276.5,5735.149902,5215.700195,5703.299805,0,5703.299805,4333.799805,4443.200195,4281.5,4406.299805,19791326300,4406.299805
8815.070313,9075.589844,8488.139648,8928.290039,2738800000,8928.290039,20951.380859,21847.699219,20767.359375,21641.820313,31925165400,21641.820313,18784.640625,19137.289063,18393.419922,18505.380859,200600,18505.380859,5704.75,5815.350098,4888.200195,5619.700195,0,5619.700195,4406.299805,4602.5,4394.600098,4535.399902,17543180700,4535.399902
8931.709961,9492.910156,8619.450195,9446.009766,2687500000,9446.009766,21573.929688,22149.699219,21098.410156,22030.390625,29884962700,22030.390625,18487.900391,19372.699219,18255.689453,19339.900391,163000,19339.900391,5609.850098,5885.25,5548.350098,5879.850098,0,5879.850098,4535.399902,4536.299805,4355.899902,4518,18561474700,4518
9484.200195,10433.629883,9376.969727,10395.179688,3432700000,10395.179688,22070.439453,22718.830078,21687.880859,22656.919922,29324098700,22656.919922,19342.830078,19612.179688,19149.029297,19426.710938,175200,19426.710938,5878.25,5965.149902,5823.149902,5905.100098,0,5905.100098,4518,4701,4508.600098,4664.600098,14578307500,4664.600098
10604.5,11145.379883,10398.610352,11138.660156,4335800000,11138.660156,22860.25,23916.160156,22860.25,23729.529297,36737630400,23729.529297,19693.300781,20203.660156,19596.380859,19894.980469,205600,19894.980469,5982.600098,6111.799805,5940.600098,6034.75,1293100,6034.75,4664.600098,4928.600098,4664.600098,4901,15864378200,4901
11193.719727,11662.519531,11046.919922,11559.360352,5299900000,11559.360352,23763.339844,23944.740234,22445.339844,23020.269531,29040943000,23020.269531,19907.210938,19966.689453,18793.970703,18861.539063,179800,18861.539063,6040.950195,6052.950195,5671.899902,5693.049805,3081200,5693.049805,4901,5127.799805,4892,5120.399902,17898313500,5120.399902
11464.709961,12650.259766,11464.709961,12397.910156,4251700000,12397.910156,22957.089844,23262.019531,21975.900391,22299.630859,36448798500,22299.630859,18876.679688,19754.660156,18568.429688,18835.769531,194000,18835.769531,5702.450195,5971.200195,5604.850098,5682.549805,2879100,5682.549805,5120.399902,5174.399902,4944.5,4979.899902,18549735300,4979.899902
12371.339844,13983.870117,11805.780273,13860.860352,6211600000,13860.860352,22203.929688,22862.689453,21423.25,22737.009766,31954683500,22737.009766,18890.810547,19622.679688,18144.220703,19504.179688,183800,19504.179688,5697.350098,5962.299805,5477.200195,5930.200195,2725300,5930.200195,4979.899902,5171.200195,4891.600098,5168.600098,18015469100,5168.600098
